Category_Type,Original_English,Translated_Korean
중분류,Collectible Coins,수집 가능한 동전
중분류,Antivirus & Security,바이러스 백신 및 보안
중분류,Utilities,유용
중분류,Printers & Accessories,프린터 및 액세서리
중분류,Christian & Gospel,기독교와 복음
중분류,Amazon Devices,아마존 장치
중분류,Photography & Graphic Design,사진 및 그래픽 디자인
중분류,Commercial Door Products,상업용 도어 제품
중분류,Drum & Percussion Accessories,드럼 및 타악기 액세서리
중분류,Comedy & Spoken Word,코미디 및 연설
중분류,Bass Guitars,베이스 기타
중분류,Funeral,장례식
중분류,Restaurant Appliances & Equipment,레스토랑 가전제품 및 장비
중분류,Lab Instruments & Equipment,실험실 장비 및 장비
중분류,Accounting & Finance,회계 및 재무
중분류,Entertainment & Pop Culture,엔터테인먼트 및 대중문화
중분류,Karaoke,노래방
중분류,Cleaning Supplies,청소용품
중분류,Lifestyle & Hobbies,라이프스타일 및 취미
중분류,Fine Art,미술
중분류,Robotics,로봇공학
중분류,"""Children's""",어린이
중분류,Professional & Educational Journals,전문 및 교육 저널
중분류,Opera & Classical Vocal,오페라 및 클래식 보컬
중분류,Home D��cor Products,홈 데코 제품
중분류,Fashion & Style,패션과 스타일
중분류,Business & Investing,비즈니스 및 투자
중분류,Programming & Web Development,프로그래밍 및 웹 개발
중분류,Cooking & Baking,요리 및 베이킹
중분류,Geography,지리학
중분류,Latin Music,라틴 음악
중분류,Automotive Enthusiast Merchandise,자동차 매니아 상품
중분류,Seasonal D��cor,계절 장식
중분류,Automotive & Motorcycles,자동차 및 오토바이
중분류,Car Electronics & Accessories,자동차 전자제품 및 액세서리
중분류,Home & Garden,홈 & 가든
중분류,Vacuums & Floor Cleaning Machines,진공청소기 및 바닥 청소 기계
중분류,Heavy Duty & Commercial Vehicles Parts,중장비 및 상업용 차량 부품
중분류,Historical & Political,역사 및 정치
중분류,News & Political Commentary,뉴스 및 정치 논평
선택,SD Cards,SD 카드
선택,Shaving Soap Bowls,면도 비누 그릇
선택,Shaving Creams,면도 크림
선택,USB Cables,USB 케이블
선택,Electric Kettles,전기 주전자
선택,Micro SD Cards,마이크로 SD 카드
선택,Lubricants,윤활유
선택,Mice,쥐
선택,Messenger & Shoulder Bags,메신저백 & 숄더백
선택,External Hard Drives,외장 하드 드라이브
선택,Toothpaste,치약
선택,Toilet Paper,휴지
선택,Mouthwash,구강 청결제
선택,Screwdriver Sets,드라이버 세트
선택,Gift Cards,기프트 카드
선택,Avocado,아보카도
선택,Olive,올리브
선택,SIM Cards,SIM 카드
선택,Bed Frames,침대 프레임
선택,Peppercorns,후추 열매
선택,Ham,햄
선택,Jerky,말린 고기
선택,Male Masturbators,남성 자위행위자
선택,Filing Envelopes,봉투 제출
선택,Store Currency Cards,매장 화폐 카드
선택,Laundry Bags,세탁 가방
선택,Cat 7 Cables,Cat 7 케이블
선택,External Solid State Drives,외부 솔리드 스테이트 드라이브
선택,Inkjet Ink Cartridges,잉크젯 잉크 카트리지
선택,Home Office Desk Chairs,홈 오피스 책상 의자
선택,Electronic Protection Plans,전자 보호 계획
선택,Cell Phones,휴대폰
선택,Consoles,콘솔
선택,Monitor Arms,모니터 암
선택,Fruit Juice,과일 주스
선택,Potato Side Dishes,감자 반찬
선택,White,하얀색
선택,Potatoes & Onion Rings,감자 & 양파 링
선택,Nuggets & Tenders,너겟 & 텐더
선택,Drumsticks,드럼스틱
선택,Thighs,허벅지
선택,Wall Chargers,벽면 충전기
선택,Food,음식
선택,Dish Cloths & Dish Towels,행주 및 행주
선택,Timers,타이머
선택,Wrist Rests,손목 받침대
선택,Sleep & Snoring,수면 및 코골이
선택,Sea Salt,바다 소금
선택,Cloths & Towelettes,옷과 수건
선택,Sanitary Napkins,생리대
선택,Hand Wash,손세탁
선택,Shampoos,샴푸
선택,Tortilla,토르티야
선택,Brown,갈색
선택,Conditioners,컨디셔너
선택,Dry,마른
선택,GED,검정고시
선택,Monitor Stands,모니터 스탠드
선택,Body Washes,바디워시
선택,Cosmetic Bags,화장품 가방
선택,Bedding & Litter,침구 및 쓰레기
선택,Balms & Moisturizers,발삼 & 모이스처라이저
선택,Eyebrow Color,눈썹 색
선택,Birdcages,새장
선택,Odor & Stain Removers,냄새 및 얼룩 제거제
선택,Stuffed Animals & Teddy Bears,동물 인형 및 테디베어
선택,Cleaning Tissues & Cloths,티슈 및 천 청소
선택,Body,몸
선택,Unpopped,팝되지 않음
선택,Ranch,농장
선택,Chili Powder,고추가루
선택,Chai,차이
선택,Basmati,바스마티어
선택,Crackers,호두 까는 기구
선택,Snack Foods,스낵 식품
선택,Bath Bombs,입욕제
선택,Sandwich,샌드위치
선택,Soft Drinks,청량음료
선택,Vegetable,채소
선택,Manual Toothbrushes,수동 칫솔
선택,Food Storage Bags,식품 보관 가방
선택,Paper Towels,종이 타월
선택,Macaroni & Cheese,마카로니 앤 치즈
선택,Muffins & Quickbreads,머핀 & 퀵브레드
선택,Saltines,소금물
선택,Tongue Cleaners,혀 클리너
선택,Musical Instruments,악기
선택,Chargers & Adapters,충전기 및 어댑터
선택,Contemporary,현대의
선택,Traditional Laptops,기존 노트북
선택,Claw Care,발톱 관리
선택,Serums,혈청
선택,Happiness,행복
선택,Board Games,보드 게임
선택,Subject Notebooks,주제 노트
선택,Shedding Tools,쉐딩 도구
선택,Night Creams,나이트 크림
선택,Individual Artists,개인 예술가
선택,Window Films,윈도우 필름
선택,Snore Reducing Aids,코골이 감소 보조제
선택,Planner Accessories,플래너 액세서리
선택,Faucet Handles,수도꼭지 손잡이
선택,Stereo Jack Cables,스테레오 잭 케이블
선택,Computers & Tablets,컴퓨터 및 태블릿
선택,Odor Removers,냄새 제거제
선택,Garment Steamers,의류용 다리미
선택,Urine Detectors,소변 감지기
선택,Buckets,버킷
선택,Magic Studies,마술 연구
선택,Back & Seat Cushions,등받이 및 좌석 쿠션
선택,Lotions,로션
선택,Adhesive Putty,접착 퍼티
선택,Tapestries,태피스트리
선택,Single Rods,단일 로드
선택,Dinner Forks,디너 포크
선택,Tea Kettles,차 주전자
선택,Health Supplies,건강용품
선택,Jars,항아리
선택,Earplugs,귀마개
선택,Tube Squeezers,튜브 압착기
선택,Flea Drops,벼룩 방울
선택,Moth Protection,나방 보호
선택,Hair Pins,머리핀
선택,Brad Nails,브래드 네일스
선택,Teaspoons,티스푼
선택,Eyeliner,아이라이너
선택,Witchcraft,요술
선택,Taper Candles,테이퍼 양초
선택,Birthday Candles,생일 양초
선택,Container Sets,컨테이너 세트
선택,Trays,트레이
선택,Stationery Supplies,문구 용품
선택,String Lights,스트링 조명
선택,Antacids,제산제
선택,Art,미술
선택,Wall Calendars,벽달력
선택,Charcoal Bags,숯 가방
선택,Splints & Supports,부목 ​​및 지지대
선택,Liquor Decanters,주류 디캔터
선택,LED Bulbs,LED 전구
선택,Marinara,마리나라
선택,Ice Cream,아이스크림
선택,Sushi,스시
선택,Mandarins,만다린
선택,Romaine,로메인
선택,Trash Bags,쓰레기 봉투
선택,Condiment Pots,조미료 냄비
선택,Handheld Showerheads,휴대용 샤워기
선택,Toilet Trip Levers,화장실 여행 레버
선택,Laundry Baskets,세탁 바구니
선택,Storage Bins & Boxes,보관함 및 상자
선택,Biscuits & Snacks,비스킷 및 스낵
선택,Wastebaskets,쓰레기통
선택,Bulletin Boards,게시판
선택,Home Office Desks,홈 오피스 책상
선택,Furnace Filters,용광로 필터
선택,Surge Protectors,서지 보호기
선택,Sponges,스펀지
선택,Dish Scouring Pads,접시 수세미
선택,AAA,AAA
선택,Clothes Pins,옷핀
선택,Self-Stick Notes,셀프스틱 노트
선택,Pins & Tacks,핀 및 압정
선택,Dustpans,쓰레받기
선택,Light Sockets,라이트 소켓
선택,Colored,컬러
선택,File Sorters,파일 분류기
선택,Over-the-Counter Medication,일반의약품
선택,Air Pump Accessories,공기 펌프 액세서리
선택,Hinges,경첩
선택,"""Women's Health""",여성 건강
선택,Rice Flour,쌀가루
선택,Desk Lamps,책상 램프
선택,Blue Light Blocking Glasses,블루라이트 차단 안경
선택,Rolling Pins,롤링 핀
선택,Short Stories,단편 소설
선택,Angle Brooms,앵글 빗자루
선택,Chocolate Chip,초콜릿 칩
선택,Specialty Metals,특수 금속
선택,Coffee Machines,커피 머신
선택,Soft Drink Mixes,청량음료 믹스
선택,Standard Hangers,표준 행거
선택,Garlands,화환
선택,Athletes Foot Remedies,운동선수의 발 치료
선택,Cleaning Cloths,청소용 천
선택,Ice Cube Molds & Trays,아이스 큐브 몰드 및 트레이
선택,Washes,워시
선택,Laxatives,완하제
선택,Office Tape Dispensers,사무용 테이프 디스펜서
선택,Cartridge Razors,카트리지 면도기
선택,Antiperspirant Deodorant,발한억제 탈취제
선택,Cutting Boards,도마
선택,Sugar Substitutes,설탕 대체물
선택,Drain Strainers,배수 여과기
선택,Lip Brushes,립 브러쉬
선택,Fishing Hats,낚시 모자
선택,Noodle Soups,국수 수프
선택,Disposable Training Pads,일회용 트레이닝 패드
선택,School & Education,학교 및 교육
선택,Hardcover Executive Notebooks,하드커버 임원용 노트북
선택,Diaper Stackers & Caddies,기저귀 보관함/캐디
선택,Pill Organizers,알약 정리함
선택,Highlighters,형광펜
선택,Permanent Markers,영구 마커
선택,Cellular Shades,셀룰러 쉐이드
선택,Reusable Produce Bags,재사용 가능한 농산물 가방
선택,Wormers,워머스
선택,Face Moisturizers,얼굴 보습제
선택,Kitchen Towel Hooks,주방 수건 걸이
선택,Hair Combs,머리 빗
선택,Clips,클립
선택,Spring Tension Rods,스프링 텐션 로드
선택,Pillowcases,베갯잇
선택,Home Décor Products,홈 데코 제품
선택,Brush Sets,브러쉬 세트
선택,Eyelash Primers,속눈썹 프라이머
선택,Hanging Baskets,매달린 바구니
선택,Washcloths,수건
선택,Hair Drying Towels,헤어 드라이 타월
선택,Artificial Trees,인공 나무
선택,Mosaics,모자이크
선택,Gift Wrap Paper,선물 포장지
선택,Games,계략
선택,Communism & Socialism,공산주의와 사회주의
선택,Hand Warmers,손난로
선택,Graphic Design,그래픽 디자인
선택,Beds,침대
선택,Role Playing Dice,롤플레잉 주사위
선택,Dedicated Deck Card Games,전용 덱 카드 게임
선택,Makeup Palettes,메이크업 팔레트
선택,Lip Glosses,립글로스
선택,Cough Syrups,기침 시럽
선택,Dryer Sheets,건조기 시트
선택,Funnels,유입경로
선택,Honey,꿀
선택,Cheese Makers,치즈 메이커
선택,Arrowroot,화살뿌리
선택,Caretaking & Relocating,관리 및 재배치
선택,Black,검은색
선택,Naan,난
선택,Deli Salads,델리 샐러드
선택,Stews & Chili,스튜 & 칠리
선택,"""Hors d'Oeuvres""",오르되브르
선택,Cheesecakes,치즈케이크
선택,Whole Wheat,통밀
선택,Baguette,바게트
선택,Ibuprofen,이부프로펜
선택,Hummus,후무스
선택,Pita,피타
선택,Bagels,베이글
선택,Panels,패널
선택,Bread Boxes,빵 상자
선택,Steam Cleaner & Steam Mop Accessories,스팀청소기 및 스팀걸레 액세서리
선택,Utility Hooks,유틸리티 후크
선택,Breads,빵
선택,Packaged Greens & Salad Mixes,포장된 채소 및 샐러드 믹스
선택,Ciabatta,치아바타
선택,Croissants,크로와상
선택,Meatless,고기가 없는
선택,Miso,된장
선택,Kombucha,콤부차
선택,Chicken,닭
선택,Tarts,타르트
선택,Herbal,허브
선택,Cough Drops,기침약
선택,Gaming Mice,게임용 마우스
선택,Basic Collars,기본 칼라
선택,Vest Harnesses,조끼 하네스
선택,Hot Water Bottles,뜨거운 물병
선택,Open Storage Bins,오픈형 보관함
선택,Lemonade,레모네이드
선택,Energy Drinks,에너지 음료
선택,Jock Itch Treatments,조크 가려움증 치료
선택,Granola,그래놀라
선택,Iced Tea,아이스 티
선택,Clip Rings,클립 링
선택,Processed Cheese,가공치즈
선택,Pasta & Sauces,파스타 & 소스
선택,Makeup Cleansing Wipes,메이크업 클렌징 물티슈
선택,Sugar Bowls,슈가볼
선택,Vaginal Moisturizers,질 보습제
선택,Ready to Drink,마실 준비가 되었습니다
선택,Canned,술취한
선택,Shampoo & Conditioner Sets,샴푸 및 컨디셔너 세트
선택,Back Massagers,등 마사지기
선택,Swings,그네
선택,Animal,동물
선택,Water,물
선택,Chicken & Turkey,치킨 & 칠면조
선택,Brussels Sprouts,브뤼셀 콩나물
선택,Seasoned Rice,양념밥
선택,Waffles,와플
선택,Jasmine,여자 이름
선택,Yeast Infection Treatments,효모 감염 치료
선택,Grilles & Vents,그릴 및 통풍구
선택,Brown Mustard,브라운머스타드
선택,Sourdough,효모
선택,Coconut,코코넛
선택,Sugars,설탕
선택,Salad Toppings,샐러드 토핑
선택,Tomatoes,토마토
선택,Spaghetti,스파게티
선택,Broccoli,브로콜리
선택,Fusilli,푸실리
선택,Penne,펜네
선택,Birdcage Covers,새장 커버
선택,Hampers,바구니
선택,Litter Mats,쓰레기 매트
선택,Cheese,치즈
선택,Black Beans,검은콩
선택,Salsas,소스
선택,Gnocchi,뇨키
선택,Dish Soap,접시 비누
선택,Pastries,페이스트리
선택,Cilantro,고수
선택,Tortillas,토르티야
선택,Waxing Kits,왁싱 키트
선택,Incense Holders,향 홀더
선택,Vase Fillers,꽃병 필러
선택,Bedding,침구
선택,Hand Brooms,손 빗자루
선택,Handheld Mirrors,휴대용 거울
선택,Protein Drinks,단백질 음료
선택,Tea Samplers,차 샘플러
선택,Cold Brew Coffee Makers,콜드브루 커피 메이커
선택,Food Strainers,식품 여과기
선택,Pour Over Coffee Makers,커피 메이커에 붓기
선택,Holsters & Sleeves,홀스터 및 슬리브
선택,Screen Protectors,화면 보호기
선택,Ground Coffee,분쇄 커피
선택,Skillets,프라이팬
선택,Throws,던지기
선택,Herbals,허브
선택,Comforter Sets,이불 세트
선택,Cups,컵
선택,Hard Candy,하드 캔디
선택,Ointments,연고
선택,Elastic Bandages,탄력붕대
선택,Utensil Crocks,식기 그릇
선택,Safety Warning Tapes,안전 경고 테이프
선택,Posters & Prints,포스터 및 인쇄물
선택,Menopause,폐경기
선택,Peanut Butter,땅콩버터
선택,Donuts,도넛
선택,Pineapple,파인애플
선택,Fresh Fruits,신선한 과일
선택,Disposable Napkins,일회용 냅킨
선택,Entrees,앙트레
선택,Treats,간식
선택,Toilet Paper Holders,화장지 홀더
선택,Aspirin,아스피린
선택,Fortune Telling,운세
선택,Thermometers,온도계
선택,Fortune Telling Toys,점쟁이 장난감
선택,Buckwheat,메밀
선택,Alternative Pain Relief,대체 통증 완화
선택,Toners & Astringents,토너 및 수렴제
선택,Cut & Packaged Vegetables,잘라서 포장한 야채
선택,Fitted Sheets,장착 시트
선택,Sofa & Console Tables,소파 및 콘솔 테이블
선택,Supplements,보충제
선택,Facial Kits,페이셜 키트
선택,Wet-Dry Vacuums,습식-건식 진공청소기
선택,Headlamps,헤드램프
선택,Binoculars,쌍안경
선택,Hemorrhoid Care,치질 관리
선택,Orthodontic Supplies,교정용품
선택,Dry Mouth Relief,구강 건조 완화
선택,Pretzels,프레즐
선택,Disposable Razors,일회용 면도기
선택,Snack Gifts,스낵 선물
선택,Combination Disc & Belt Sanders,디스크 및 벨트 샌더 조합
선택,3-D Puzzles,3D 퍼즐
선택,Incense,향
선택,LED Strip Lights,LED 스트립 조명
선택,Ropes,로프
선택,Fire Escape Ladders,화재 탈출 사다리
선택,Foundation,기반
선택,Bladder Control Devices,방광 제어 장치
선택,Wall & Tabletop Frames,벽 및 테이블 상판 프레임
선택,Valances,밸런스
선택,Area Rugs,지역 러그
선택,Gas Relief,가스 완화
선택,Bathing Accessories,목욕용 액세서리
선택,Liquid White Glues,액체 흰색 접착제
선택,Creams,크림
선택,Cleansers,클렌저
선택,Hair Brushes,헤어 브러쉬
선택,Dumbbells,아령
선택,Bidet Attachments,비데 부착물
선택,Toilet Seats,변기
선택,Cologne,쾰른
선택,Pickled Mixed Vegetables,절인 혼합 야채
선택,Toilet Cleaners,화장실 청소용품
선택,Paper Towel Holders,종이 타월 홀더
선택,Cleaning Brushes,청소용 브러쉬
선택,Waxes & Oils,왁스 및 오일
선택,Cotton Pads & Rounds,면 패드/라운드
선택,Collectible Figurines,수집용 인형
선택,Hanging Ornaments,매달린 장식품
선택,Tea Light Holders,티라이트 홀더
선택,Standalone Hardware,독립형 하드웨어
선택,Headsets,헤드셋
선택,Toilet Brushes & Holders,변기 브러쉬 및 홀더
선택,Microfiber,극세사
선택,Moisturizing Eye Drops,보습 점안액
선택,Bath & Body Brushes,목욕 및 바디 브러시
선택,Hand Towels,손수건
선택,Hair Masks,헤어 마스크
선택,Clitoral,음핵
선택,Smartwatch Cables & Chargers,스마트워치 케이블 및 충전기
선택,Whitening Kits,미백 키트
선택,Hall Trees,홀 트리
선택,Portfolio & Case Ring Binders,포트폴리오 및 케이스 링 바인더
선택,Project Folders,프로젝트 폴더
